ancestor_concept_code,descendant_concept_code,level_of_separation
RE100,RE108,1
RE108,RE108,0
VA000,RE109,3
RE000,RE109,2
RE100,RE109,1
RE109,RE109,0
VA000,RE200,2
RE000,RE200,1
RE200,RE200,0
VA000,RE300,2
VA000,RE301,3
RE000,RE300,1
RE000,RE301,2
RE300,RE300,0
RE300,RE301,1
RE301,RE301,0
VA000,RE302,3
RE000,RE302,2
RE300,RE302,1
RE302,RE302,0
VA000,RE400,2
RE000,RE400,1
RE400,RE400,0
VA000,RE500,2
VA000,RE501,3
RE000,RE500,1
RE000,RE501,2
RE500,RE500,0
RE500,RE501,1
RE501,RE501,0
VA000,RE502,3
RE000,RE502,2
RE500,RE502,1
RE502,RE502,0
VA000,RE503,3
RE000,RE503,2
RE500,RE503,1
RE503,RE503,0
VA000,RE504,3
RE000,RE504,2
RE500,RE504,1
RE504,RE504,0
VA000,RE505,3
RE000,RE505,2
RE500,RE505,1
RE505,RE505,0
VA000,RE506,3
RE000,RE506,2
RE500,RE506,1
RE506,RE506,0
VA000,RE507,3
RE000,RE507,2
RE500,RE507,1
RE507,RE507,0
VA000,RE508,3
RE000,RE508,2
RE500,RE508,1
RE508,RE508,0
VA000,RE509,3
RE000,RE509,2
RE500,RE509,1
RE509,RE509,0
VA000,RE510,3
RE000,RE510,2
RE500,RE510,1
RE510,RE510,0
VA000,RE511,3
RE000,RE511,2
RE500,RE511,1
RE511,RE511,0
VA000,RE512,3
RE000,RE512,2
RE500,RE512,1
RE512,RE512,0
VA000,RE513,3
RE000,RE513,2
RE500,RE513,1
RE513,RE513,0
VA000,RE514,3
RE000,RE514,2
RE500,RE514,1
RE514,RE514,0
VA000,RE515,3
RE000,RE515,2
RE500,RE515,1
RE515,RE515,0
VA000,RE516,3
RE000,RE516,2
RE500,RE516,1
RE516,RE516,0
VA000,RE599,3
RE000,RE599,2
RE500,RE599,1
RE599,RE599,0
VA000,RE600,2
RE000,RE600,1
